,link,title,name,price,category,sex
111,https://www.myntra.com/shirts/raymond/raymond-men-maroon-pure-cotton-slim-fit-solid-formal-shirt/14093138/buy,Raymond,Men Maroon Pure Cotton Slim Fit Solid Formal Shirt,1539,topwear,Men
112,https://www.myntra.com/kurtas/anouk/anouk-women-green-pleated-yarn-dyed-kurta/15427432/buy,Anouk,Women Green Pleated Yarn Dyed Kurta,449,topwear,Women
113,https://www.myntra.com/shirts/wrogn/wrogn-men-teal-blue--white-slim-fit-floral-printed-casual-shirt/17023986/buy,WROGN,Men Teal Blue &amp; White Slim Fit Floral Printed Casual Shirt,1264,topwear,Men
114,https://www.myntra.com/tops/vero-moda/vero-moda-white-top/18786298/buy,Vero Moda,White Top,809,topwear,N.A.
115,https://www.myntra.com/tops/berrylush/berrylush-women-charming-purple-solid-cropped-top/16426496/buy,Berrylush,Women Charming Purple Solid Cropped Top,545,topwear,Women
116,https://www.myntra.com/tops/marks--spencer/marks--spencer-pink-striped-shirt-style-top/15882560/buy,Marks &amp; Spencer,Pink Striped Shirt Style Top,1124,topwear,N.A.
117,https://www.myntra.com/tops/paralians/paralians-white-peplum-top/18514128/buy,Paralians,White Peplum Top,599,topwear,N.A.
118,https://www.myntra.com/shirts/gant/gant-men-orange-classic-casual-shirt/19264744/buy,GANT,Men Orange Classic Casual Shirt,8499,topwear,Men
119,https://www.myntra.com/tshirts/bewakoof/bewakoof-men-blue-high-neck-pure-cotton-loose-t-shirt/19339982/buy,Bewakoof,Men Blue High Neck Pure Cotton Loose T-shirt,399,topwear,Men
120,https://www.myntra.com/tshirts/dillinger/dillinger-women-lavender-printed--round-neck-oversized-pure-cotton-t-shirt/13930758/buy,DILLINGER,Women Lavender Printed  Round Neck Oversized Pure Cotton T-shirt,575,topwear,Women
121,https://www.myntra.com/tops/shaye/shaye-black-floral-print-tie-up-neck-top/19261822/buy,SHAYE,Black Floral Print Tie-Up Neck Top,1509,topwear,N.A.
